City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,69.71,88,0,8.05,clear sky
1,Male,MV,4.1748,73.5089,82.36,77,99,17.81,overcast clouds
2,Souillac,MU,-20.5167,57.5167,71.98,64,40,21.85,light rain
3,Ransang,PH,8.9603,117.5828,84.24,70,100,2.46,heavy intensity rain
4,Qaanaaq,GL,77.484,-69.3632,40.91,73,15,1.45,few clouds
5,Hami,CN,42.8,93.45,92.28,15,99,4.43,overcast clouds
6,Saskylakh,RU,71.9167,114.0833,44.37,64,100,15.39,overcast clouds
7,Hermanus,ZA,-34.4187,19.2345,52.81,78,99,4.94,overcast clouds
8,Laguna,US,38.421,-121.4238,85.01,35,0,8.05,clear sky
9,Ushuaia,AR,-54.8,-68.3,35.26,80,20,3.44,few clouds
10,Sao Filipe,CV,14.8961,-24.4956,75.07,83,97,9.46,overcast clouds
11,Tuktoyaktuk,CA,69.4541,-133.0374,64.4,82,75,3.44,broken clouds
12,Haimen,CN,23.1935,116.6142,91.29,72,90,12.64,overcast clouds
13,Ostrovnoy,RU,68.0531,39.5131,60.53,68,78,4.36,broken clouds
14,Rikitea,PF,-23.1203,-134.9692,74.48,74,4,12.8,clear sky
15,Zhenlai,CN,45.8495,123.2973,79.45,60,65,8.84,broken clouds
16,Punta Arenas,CL,-53.15,-70.9167,41.11,70,40,27.63,scattered clouds
17,Busselton,AU,-33.65,115.3333,61.0,63,0,7.63,clear sky
18,Tabuk,PH,17.4189,121.4443,88.81,65,40,7.2,scattered clouds
19,Bairiki,KI,1.3292,172.9752,84.2,74,20,13.8,few clouds
20,Qasigiannguit,GL,68.8193,-51.1922,46.65,82,97,1.92,overcast clouds
21,Ribeira Grande,PT,38.5167,-28.7,71.87,91,36,2.13,scattered clouds
22,Bilibino,RU,68.0546,166.4372,47.57,96,100,6.53,moderate rain
23,Madang,PG,-5.2246,145.7966,81.73,81,100,4.21,overcast clouds
24,Marshall,US,34.3834,-86.3333,77.38,87,75,0.0,broken clouds
25,Esperance,AU,-33.8667,121.9,61.66,67,5,7.27,clear sky
26,Pisco,PE,-13.7,-76.2167,57.25,82,20,3.44,mist
27,Albany,US,42.6001,-73.9662,71.89,89,96,11.95,overcast clouds
28,Avarua,CK,-21.2078,-159.775,71.65,83,75,4.61,moderate rain
29,Vostok,RU,46.4856,135.8833,71.38,73,97,3.15,heavy intensity rain
30,Arlit,NE,18.7369,7.3853,87.49,38,93,4.36,overcast clouds
31,Nikolskoye,RU,59.7035,30.7861,63.88,67,61,5.37,broken clouds
32,Kodiak,US,57.79,-152.4072,58.51,67,0,3.44,clear sky
33,Vaini,TO,-21.2,-175.2,75.36,88,20,11.5,few clouds
34,Port Hardy,CA,50.6996,-127.4199,57.38,88,100,3.44,overcast clouds
35,Kavaratti,IN,10.5669,72.642,80.56,80,100,20.71,light rain
36,Znamenskoye,RU,57.1281,73.8282,70.56,49,77,9.22,broken clouds
37,Vestmannaeyjar,IS,63.4427,-20.2734,50.22,91,100,6.29,overcast clouds
38,Puerto Ayora,EC,-0.7393,-90.3518,68.56,95,65,5.01,broken clouds
39,Kavieng,PG,-2.5744,150.7967,82.63,75,100,9.89,light rain
40,Gheorghe Lazar,RO,44.6333,27.45,66.88,35,32,6.02,scattered clouds
41,Saldanha,ZA,-33.0117,17.9442,46.45,74,0,12.26,clear sky
42,Srandakan,ID,-7.9386,110.2506,83.55,69,19,12.59,few clouds
43,Lompoc,US,34.6391,-120.4579,71.74,84,0,3.44,clear sky
44,Murray Bridge,AU,-35.1167,139.2667,51.12,49,98,7.74,overcast clouds
45,Cockburn Town,TC,21.4612,-71.1419,81.54,78,0,20.67,clear sky
46,Astakos,GR,38.5356,21.0814,76.37,43,5,6.11,clear sky
47,Saint George,US,37.1041,-113.5841,93.94,30,20,9.22,few clouds
48,Sur,OM,22.5667,59.5289,86.74,81,66,10.6,broken clouds
49,Dong Xoai,VN,11.5333,106.9167,85.42,76,90,5.64,overcast clouds
50,Boa Vista,BR,2.8197,-60.6733,78.78,83,0,2.3,clear sky
51,Severo-Kurilsk,RU,50.6789,156.125,57.49,86,75,10.47,broken clouds
52,Atuona,PF,-9.8,-139.0333,76.89,71,65,19.15,broken clouds
53,Lata,PT,40.1629,-8.3327,61.79,88,64,1.54,broken clouds
54,New Norfolk,AU,-42.7826,147.0587,49.5,61,45,1.72,scattered clouds
55,Bluff,NZ,-46.6,168.3333,45.81,72,96,15.93,overcast clouds
56,Ubauro,PK,28.1652,69.7289,96.62,50,30,5.82,scattered clouds
57,Alexandria,EG,31.2156,29.9553,80.33,71,0,7.96,clear sky
58,Bartica,GY,6.4,-58.6167,77.32,99,90,1.52,overcast clouds
59,Castro,BR,-24.7911,-50.0119,55.36,99,95,2.42,overcast clouds
60,Portland,US,45.5234,-122.6762,71.55,66,0,13.8,clear sky
61,Faanui,PF,-16.4833,-151.75,75.88,73,2,4.52,light rain
62,Leningradskiy,RU,69.3833,178.4167,34.32,99,100,12.46,light snow
63,Hobart,AU,-42.8794,147.3294,49.86,71,75,6.91,broken clouds
64,Namibe,AO,-15.1961,12.1522,62.91,89,0,7.52,clear sky
65,Meulaboh,ID,4.1363,96.1285,83.98,64,91,3.87,light rain
66,Jacareacanga,BR,-6.2222,-57.7528,75.4,58,56,1.41,broken clouds
67,Hilo,US,19.7297,-155.09,78.28,93,100,9.22,moderate rain
68,Tongren,CN,27.7172,109.1853,82.85,82,100,2.71,overcast clouds
69,Poum,NC,-20.2333,164.0167,76.66,83,74,9.35,broken clouds
70,Upernavik,GL,72.7868,-56.1549,43.32,78,100,7.25,overcast clouds
71,Itarema,BR,-2.9248,-39.9167,76.14,82,6,13.15,clear sky
72,Yellowknife,CA,62.456,-114.3525,66.72,68,75,5.75,broken clouds
73,Cape Town,ZA,-33.9258,18.4232,55.9,79,75,9.22,broken clouds
74,Mataura,NZ,-46.1927,168.8643,45.48,90,100,4.25,overcast clouds
75,Ozernovskiy,RU,51.5,156.5167,60.93,77,86,11.5,overcast clouds
76,Najran,SA,17.4924,44.1277,84.85,23,100,1.39,overcast clouds
77,Wajima,JP,37.4,136.9,79.48,94,75,13.8,light intensity shower rain
78,Bredasdorp,ZA,-34.5322,20.0403,53.51,85,99,3.18,overcast clouds
79,La Seyne-Sur-Mer,FR,43.0982,5.8847,80.89,61,0,1.43,clear sky
80,Chokurdakh,RU,70.6333,147.9167,49.48,38,35,14.16,scattered clouds
81,Pevek,RU,69.7008,170.3133,34.63,90,88,2.01,overcast clouds
82,Georgetown,MY,5.4112,100.3354,87.75,70,20,4.61,light rain
83,East London,ZA,-33.0153,27.9116,68.94,37,0,12.66,clear sky
84,Northam,GB,51.0333,-4.2167,70.25,53,61,12.64,broken clouds
85,Pangody,RU,65.85,74.4859,70.48,39,25,12.86,scattered clouds
86,Luderitz,NA,-26.6481,15.1594,55.24,85,5,7.58,clear sky
87,Geraldton,AU,-28.7667,114.6,68.41,52,0,3.44,clear sky
88,Provideniya,RU,64.3833,-173.3,46.51,66,75,13.42,broken clouds
89,Fortuna,US,40.5982,-124.1573,55.98,85,4,2.8,clear sky
90,Macau,MO,22.2006,113.5461,89.4,79,40,11.5,scattered clouds
91,Khatanga,RU,71.9667,102.5,47.21,72,100,15.97,overcast clouds
92,Sorland,NO,67.667,12.6934,53.29,85,79,11.95,broken clouds
93,Chuy,UY,-33.6971,-53.4616,45.99,91,91,5.59,overcast clouds
94,Mailani,IN,28.2833,80.35,98.73,41,36,7.67,scattered clouds
95,Auki,SB,-8.7676,160.7034,84.69,61,25,2.48,scattered clouds
96,Cherskiy,RU,68.75,161.3,48.43,63,43,22.91,scattered clouds
97,Morondava,MG,-20.2833,44.2833,71.47,56,0,11.59,clear sky
98,Kikinda,RS,45.8297,20.4653,68.58,28,6,2.17,clear sky
99,Valley City,US,46.9233,-98.0032,77.52,100,75,11.5,mist
100,North Platte,US,41.1239,-100.7654,87.69,33,20,14.97,few clouds
101,Mar Del Plata,AR,-38.0023,-57.5575,40.87,88,0,5.99,clear sky
102,Altamira,BR,-3.2033,-52.2064,75.45,75,98,0.81,overcast clouds
103,Newport,GB,51.5877,-2.9984,78.91,73,63,8.43,broken clouds
104,Husavik,IS,66.0449,-17.3389,51.22,79,95,5.73,overcast clouds
105,Kaitangata,NZ,-46.2817,169.8464,44.35,87,100,7.78,overcast clouds
106,Butaritari,KI,3.0707,172.7902,82.58,74,48,16.6,scattered clouds
107,Carnarvon,AU,-24.8667,113.6333,73.62,37,0,9.71,clear sky
108,Singkawang,ID,0.9,109.0,90.68,55,55,9.15,broken clouds
109,Kapaa,US,22.0752,-159.319,84.18,79,40,16.11,light rain
110,Saravan,AM,39.7196,45.6483,75.81,27,3,7.61,clear sky
111,Bethel,US,41.3712,-73.414,73.71,92,75,6.91,broken clouds
112,Yulara,AU,-25.2406,130.9889,73.47,17,0,7.34,clear sky
113,Paso De Los Toros,UY,-32.8167,-56.5167,44.78,85,43,3.38,scattered clouds
114,Batagay,RU,67.6333,134.6333,55.67,77,100,6.46,light rain
115,Zhenjiang,CN,32.2092,119.4342,93.38,48,70,0.67,broken clouds
116,Cortez,US,37.3489,-108.5859,76.03,44,0,8.05,clear sky
117,Shingu,JP,33.7333,135.9833,81.72,88,100,14.65,light rain
118,Havelock,US,34.8791,-76.9013,84.18,88,20,12.66,few clouds
119,Tasiilaq,GL,65.6145,-37.6368,33.96,87,8,2.57,clear sky
120,Sinnar,SD,13.5691,33.5672,76.55,79,99,21.39,overcast clouds
121,Aginskoye,RU,51.1,114.53,83.8,40,2,7.56,clear sky
122,Fairbanks,US,64.8378,-147.7164,61.61,73,75,10.36,broken clouds
123,Ballina,AU,-28.8667,153.5667,54.01,99,100,10.54,light rain
124,San Andres,CO,12.5847,-81.7006,82.42,83,75,12.66,broken clouds
125,Hammerfest,NO,70.6634,23.6821,50.45,100,100,4.61,mist
126,Marsh Harbour,BS,26.5412,-77.0636,81.59,76,5,11.25,clear sky
127,Kieta,PG,-6.2167,155.6333,84.13,69,84,5.55,broken clouds
128,Buenos Aires,AR,-34.6132,-58.3772,47.93,63,0,3.44,clear sky
129,Dromolaxia,CY,34.8761,33.586,92.86,27,0,3.44,clear sky
130,Lannion,FR,48.75,-3.4167,79.34,83,33,4.0,scattered clouds
131,Ouadda,CF,8.0777,22.4007,66.83,99,100,0.31,moderate rain
132,Arraial Do Cabo,BR,-22.9661,-42.0278,69.19,90,100,13.22,overcast clouds
133,Tura,IN,25.5198,90.2201,80.85,80,100,7.09,overcast clouds
134,Bambous Virieux,MU,-20.3428,57.7575,71.85,64,40,21.85,light rain
135,Iqaluit,CA,63.7506,-68.5145,38.93,93,100,9.22,overcast clouds
136,Xunchang,CN,28.4543,104.715,76.23,75,100,2.21,overcast clouds
137,Lincoln,US,40.8,-96.667,79.29,78,0,11.5,clear sky
138,Tuatapere,NZ,-46.1333,167.6833,44.31,86,99,8.1,overcast clouds
139,Mount Vernon,US,40.9126,-73.8371,80.22,83,75,14.97,broken clouds
140,Cauquenes,CL,-35.9671,-72.3225,41.16,91,65,2.24,broken clouds
141,Isangel,VU,-19.55,169.2667,79.3,75,74,9.01,broken clouds
142,Verkhniy Baskunchak,RU,48.2256,46.7217,73.71,36,58,9.19,broken clouds
143,Dombas,NO,62.0696,9.1235,50.56,79,42,3.24,scattered clouds
144,Lebu,CL,-37.6167,-73.65,43.45,82,85,3.76,overcast clouds
145,Pradopolis,BR,-21.3594,-48.0656,64.58,61,70,3.91,broken clouds
146,Norman Wells,CA,65.282,-126.8329,64.44,68,75,8.05,broken clouds
147,Roma,US,43.2128,-75.4557,71.08,93,75,13.8,broken clouds
148,Hemnesberget,NO,66.2333,13.6333,51.58,93,100,3.18,overcast clouds
149,Zhicheng,CN,30.2956,111.5047,86.54,77,80,4.79,broken clouds
150,Thompson,CA,55.7435,-97.8558,64.56,77,40,2.3,scattered clouds
151,Bonavista,CA,48.6499,-53.1147,59.65,91,56,15.43,broken clouds
152,Port Blair,IN,11.6667,92.75,85.55,72,93,10.89,overcast clouds
153,Bengkulu,ID,-3.8004,102.2655,84.49,67,38,5.46,scattered clouds
154,Dwarka,IN,22.2394,68.9678,83.23,81,83,14.12,broken clouds
155,Port Moresby,PG,-9.4431,147.1797,83.62,79,75,17.27,haze
156,Coracora,PE,-15.0333,-73.7833,48.74,60,100,4.16,overcast clouds
157,Torbay,CA,47.6666,-52.7314,65.17,81,75,11.5,broken clouds
158,Taguatinga,BR,-12.3857,-46.5711,72.95,50,0,10.18,clear sky
159,Malanje,AO,-9.5402,16.341,57.96,96,4,1.25,clear sky
160,Gigmoto,PH,13.7796,124.39,86.92,67,52,7.47,broken clouds
161,Mahebourg,MU,-20.4081,57.7,72.25,64,40,21.85,scattered clouds
162,Gat,IL,31.61,34.7642,87.4,100,0,0.69,clear sky
163,Yeppoon,AU,-23.1333,150.7333,74.98,66,0,9.71,clear sky
164,Kailua,US,21.4022,-157.7394,80.58,77,40,12.66,scattered clouds
165,Penzance,GB,50.1186,-5.5371,65.08,83,100,1.14,overcast clouds
166,Zeya,RU,53.75,127.2667,73.35,85,100,2.62,light rain
167,Port Elizabeth,ZA,-33.918,25.5701,60.31,95,0,4.61,clear sky
168,Saint-Augustin,CA,51.226,-58.6502,59.0,77,21,3.51,few clouds
169,Barrow,US,71.2906,-156.7887,42.82,75,100,14.97,overcast clouds
170,Amahai,ID,-3.3333,128.9167,77.23,90,94,6.33,overcast clouds
171,Cabedelo,BR,-6.9811,-34.8339,72.27,86,41,13.69,scattered clouds
172,Quatre Cocos,MU,-20.2078,57.7625,72.09,71,71,23.69,light rain
173,Baherden,TM,38.4362,57.4316,98.6,12,0,8.23,clear sky
174,Nishihara,JP,26.1842,127.7558,91.06,84,75,11.5,broken clouds
175,Bykovo,RU,55.6361,38.0803,60.53,67,0,8.95,clear sky
176,Lavrentiya,RU,65.5833,-171.0,40.24,69,77,17.9,broken clouds
177,Aksu,CN,41.1231,80.2644,92.64,16,7,10.89,clear sky
178,Santana Do Livramento,BR,-30.8908,-55.5328,46.53,87,72,4.81,broken clouds
179,Faya,SA,18.3851,42.4509,77.52,23,82,10.09,broken clouds
180,Sumbawanga,TZ,-7.9667,31.6167,53.2,75,22,1.72,few clouds
181,Vestmanna,FO,62.1564,-7.1664,50.92,93,100,18.41,overcast clouds
182,Umm Kaddadah,SD,13.6017,26.6876,80.29,61,82,15.93,broken clouds
183,Loubomo,CG,-4.1997,12.6739,63.88,95,18,2.71,few clouds
184,Waddan,LY,29.1614,16.139,74.7,55,0,4.12,clear sky
185,Villa Union,MX,23.2,-106.2333,84.9,78,75,0.0,broken clouds
186,Adeje,ES,28.1227,-16.726,79.11,53,0,5.75,clear sky
187,Tiksi,RU,71.6872,128.8694,33.66,85,100,21.41,overcast clouds
188,Pangai,TO,-19.8,-174.35,75.31,94,75,18.41,light intensity shower rain
189,Tukrah,LY,32.5341,20.5791,79.16,59,0,22.57,clear sky
190,Svetlogorsk,BY,52.6333,29.7333,57.02,95,100,6.04,overcast clouds
191,Potosi,BO,-19.5836,-65.7531,41.11,56,84,3.33,broken clouds
192,Hofn,IS,64.2539,-15.2082,49.71,90,100,12.48,overcast clouds
193,Berlevag,NO,70.8578,29.0864,64.2,72,0,2.3,clear sky
194,Tambura,SS,5.6,27.4667,67.35,98,100,5.61,overcast clouds
195,Avera,US,33.194,-82.5271,77.56,75,91,9.04,overcast clouds
196,Plettenberg Bay,ZA,-34.0527,23.3716,58.24,88,93,0.83,overcast clouds
197,Broome,US,42.2506,-75.833,71.85,84,100,10.36,overcast clouds
198,Jumla,NP,29.2747,82.1838,74.8,67,78,4.68,broken clouds
199,Mugur-Aksy,RU,50.35,90.5,55.17,39,47,3.85,scattered clouds
200,Hay River,CA,60.8156,-115.7999,67.98,60,100,3.44,overcast clouds
201,Machilipatnam,IN,16.1667,81.1333,88.34,62,91,5.37,overcast clouds
202,Susuman,RU,62.7833,148.1667,81.1,48,96,15.77,overcast clouds
203,Bose,IT,45.4612,8.0137,74.84,66,1,4.21,clear sky
204,Salalah,OM,17.0151,54.0924,77.09,100,100,5.75,light intensity drizzle
205,Kloulklubed,PW,7.0419,134.2556,81.1,71,91,2.26,overcast clouds
206,Srednekolymsk,RU,67.45,153.6833,58.33,45,99,9.95,overcast clouds
207,Gorom-Gorom,BF,14.4439,-0.2361,77.83,70,100,7.36,overcast clouds
208,Newark,US,40.7357,-74.1724,78.93,86,40,11.5,scattered clouds
209,Ancud,CL,-41.8697,-73.8203,42.22,81,24,11.65,few clouds
210,Mezhdurechensk,RU,53.6942,88.0603,60.24,92,85,6.17,light rain
211,Zhuanghe,CN,39.7008,122.9911,84.22,61,38,4.54,scattered clouds
212,Clyde River,CA,70.4692,-68.5914,35.83,100,100,5.75,light rain
213,Ilheus,BR,-14.7889,-39.0494,68.86,88,69,3.83,broken clouds
214,Cabo San Lucas,MX,22.8909,-109.9124,84.51,78,0,3.0,clear sky
215,Buraydah,SA,26.326,43.975,91.85,9,24,6.08,few clouds
216,Tondi,IN,9.7333,79.0167,88.3,58,64,5.59,broken clouds
217,Kathu,TH,7.9178,98.3332,87.69,97,100,14.09,overcast clouds
218,Vardo,NO,70.3705,31.1107,55.53,83,63,6.51,broken clouds
219,Sept-Iles,CA,50.2001,-66.3821,61.32,92,75,5.75,broken clouds
220,Villanueva,HN,15.3167,-88.0,78.04,94,75,2.3,broken clouds
221,Otane,NZ,-39.8833,176.6333,57.0,77,100,8.66,overcast clouds
222,Vilhena,BR,-12.7406,-60.1458,65.3,45,4,2.42,clear sky
223,Ballitoville,ZA,-29.539,31.2144,59.25,87,0,1.14,clear sky
224,Grand Gaube,MU,-20.0064,57.6608,72.37,64,47,10.0,scattered clouds
